@relation applelaptops 

@attribute productFamily {MacBookPro,MacBook,MacBookAir,Macbook}
@attribute operatingSystem {MacOSX10.7-Lion,MacOSX10.6-SnowLeopard,MacOSX10,MacOSX,MacOSX10.5-Leopard,MacOSX10.10-Yosemite,AppleMacOSX10.7,AppleMacOSX10.5,OSX:10.10.5,AppleMacOSX10.6,MacOSX10.4-Tiger,MacOSXYosemite,MacOSX10.10-4Yosemite,MacOSX10.9-Mavericks,AppleMacOSX10.4,MacOSX10.10.3-Yosemite,YOSEMITE10.10,MacOSXYOSEMITE10.10.3JUNE2015iLifeiWork,MacOSX10.8-MountainLion,AppleMacOSX,MacOSX10.9.4-Mavericks,OSX10.9.5,MacOSX10.10,AppleMacOSXMavericks,MacOSX10.10-3Yosemite,MacOSX10.9.5,Yosemite,OSXYosemite,MacOSYosemite,MacOSXYosemite10.10.4(TheLatest2015,OSX10.5,MacOSX10.9orOSX10.8,10.10.5,Silver,MacOSX10.7.5,MacOSX10.10Yosemite,OSX10.10Yosemite,MacOSX10.9.1,MacOSX10.9,osx,NotIncluded,MacOSX10.10.4-Yosemite,MacOSX10.6.3,MACOSX10.10.4Yosemite,MACOSX10.10.3YOSEMITE,MacOSX10.10.4Yosemite,Leopard}
@attribute processorType {IntelCorei5,IntelCore2Duo,Intel,IntelCorei72ndGen.,IntelCorei75thGen.,IntelCorei71stGen.,IntelCorei7,IntelCorei54thGen.,IntelCorei55thGen.,INTELCOREI7,IntelDualCorei7,IntelCoreI-54260U,IntelCorei51stGen.,IntelQuadCorei7,IntelCorei74thGen.,IntelCoreDuo,IntelCorei73rdGen.,IntelCorei52ndGen.,Core2Duo,IntelCorei53rdGen.,IntelQuad-Corei7,IntelCorei33rdGen.,IntelCoreM,IntelDualCore,IntelCorei7-3615QM,Corei7,IntelCorei54thGen,INTELCOREI5,Inteli7,inteli5processorwithboostspeedTechnology,IntelDual-Corei7,I7,500GB,IntelCorei5.,QUADCORE,I5,Corei5,IntelDual-Corei5,corei7,INTELCORE5,i5}
@attribute screenSize NUMERIC
@attribute memory NUMERIC
@attribute hardDriveCapacity NUMERIC
@attribute processorSpeed NUMERIC
@attribute productPrice NUMERIC

@data
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,249.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,249.0
MacBook,MacOSX10.6-SnowLeopard,IntelCoreDuo,13.3,2,160,183,99.95
MacBookPro,MacOSX10.10-Yosemite,IntelCorei73rdGen.,13.3,8,1,290,979.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,13.3,4,500,240,415.0
MacBookPro,MacOSX10.10-Yosemite,Intel,15.4,16,1,200,1179.0
MacBookPro,MacOSX10.10-Yosemite,IntelQuadCorei7,15.4,16,512,27,1499.0
MacBookPro,MacOSX10.6-SnowLeopard,IntelCore2Duo,15.4,2,120,233,149.99
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,256,170,629.99
MacBookPro,YOSEMITE10.10,INTELCOREI7,15.4,813333,500,22,565.0
MacBookPro,YOSEMITE10.10,INTELCOREI7,15.4,813333,500,22,565.0
MacBookPro,YOSEMITE10.10,INTELCOREI7,15.4,813333,500,22,565.0
MacBookPro,YOSEMITE10.10,INTELCOREI7,15.4,813333,500,22,565.0
MacBookPro,MacOSX10.5-Leopard,IntelCore2Duo,13.3,4,250,253,340.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei73rdGen.,13.3,8,256,300,1149.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei73rdGen.,13.3,8,256,300,1149.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,250,240,208.99
MacBookPro,MacOSXYOSEMITE10.10.3JUNE2015iLifeiWork,IntelCorei74thGen.,15.4,16,512,250,2987.0
MacBookPro,MacOSXYOSEMITE10.10.3JUNE2015iLifeiWork,IntelCorei74thGen.,15.4,16,512,250,2987.0
MacBookAir,MacOSX10.10-Yosemite,IntelCorei7,13.3,8,512,200,869.95
MacBookAir,MacOSX10.10-Yosemite,IntelCorei7,13.3,8,512,200,869.95
MacBook,MacOSX10.6-SnowLeopard,Core2Duo,13.3,2,160,213,99.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,264.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,264.99
MacBookAir,MacOSX10.8-MountainLion,IntelCorei54thGen.,13.3,4,128,260,679.99
MacBookAir,MacOSX10.8-MountainLion,IntelCorei54thGen.,13.3,4,128,260,679.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei74thGen.,13.3,8,128,270,1199.95
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,320,240,349.0
MacBookPro,MacOSX10.9-Mavericks,IntelCorei73rdGen.,15.4,8,750,230,730.0
MacBookAir,MacOSX10.10-Yosemite,IntelCorei54thGen.,13.3,4,128,166,875.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei74thGen.,13.3,16,256,31,1799.0
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,575.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,218.49
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,199.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,199.0
MacBookPro,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,250,240,400.0
MacBookAir,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,128,213,534.99
MacBookPro,AppleMacOSX10.7,Intel,15.4,4,500,220,789.0
MacBookPro,AppleMacOSX10.7,Intel,15.4,4,500,220,789.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei5,13.3,4,500,24,489.95
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,8,500,226,650.0
MacBookPro,MacOSX10,IntelCorei5,13.3,8,256,270,1489.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,226,189.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,226,189.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei53rdGen.,13.3,4,500,250,675.0
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,515.0
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,515.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei74thGen.,15.4,8,256,200,1250.0
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,15.4,2,500,240,299.0
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,15.4,2,500,240,299.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei5,13.3,8,500,290,1075.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,15.4,8,1,253,779.0
MacBookPro,AppleMacOSX,IntelCorei5,13.3,8,128,250,500.0
MacBookPro,MacOSX10.7-Lion,IntelCorei7,13.3,8,750,290,769.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei55thGen.,13.3,8,128,270,1140.0
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,599.74
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,599.74
MacBookPro,MacOSX10.10-Yosemite,IntelQuadCorei7,15.4,16,512,27,1479.0
MacBookPro,MacOSX10.10-Yosemite,IntelQuad-Corei7,15.4,16,256,23,1250.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei54thGen.,15.4,4,320,240,437.07
MacBookPro,MacOSX10.10-Yosemite,IntelCorei54thGen.,15.4,4,320,240,437.07
MacBookPro,MacOSX10.10-Yosemite,IntelCorei33rdGen.,13.3,16,1,290,1089.0
MacBookPro,MacOSX10.6-SnowLeopard,Intel,17,4,750,220,999.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,13.3,8,1,230,749.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,13.3,8,1,230,749.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,13.3,8,1,230,749.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,13.3,8,1,230,749.0
MacBookAir,MacOSX10.10-Yosemite,IntelCorei55thGen.,13.3,4,256,160,610.0
MacBookPro,MacOSX10.5-Leopard,IntelCore2Duo,15.4,2,250,250,157.5
MacBookPro,MacOSX10.6-SnowLeopard,Intel,15.4,4,320,240,569.99
MacBookPro,MacOSX10.6-SnowLeopard,Intel,15.4,4,320,240,569.99
MacBookPro,MacOSX10.6-SnowLeopard,Intel,15.4,4,320,240,569.99
MacBookPro,MacOSX10.6-SnowLeopard,Intel,15.4,4,320,240,569.99
MacBookPro,MacOSX10.6-SnowLeopard,Intel,15.4,4,320,240,569.99
MacBookPro,MacOSX10.10-Yosemite,IntelQuadCorei7,15.4,16,512,25,1099.99
MacBook,MacOSX10.10-Yosemite,IntelCoreM,12,8,256,110,1179.95
MacBookPro,MacOSX10.10-Yosemite,Intel,13.3,8,256,240,900.0
MacBookPro,MacOSX10.8-MountainLion,IntelCorei5,13.3,4,500,250,949.99
MacBookPro,MacOSX10.8-MountainLion,IntelCorei5,13.3,4,500,250,949.99
MacBook,MacOSX10.9-Mavericks,IntelCore2Duo,13.3,4,250,226,175.0
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,549.99
MacBook,MacOSX10.9.4-Mavericks,IntelCore2Duo,13.3,4,250,226,189.99
MacBookPro,AppleMacOSX10.5,IntelCore2Duo,15.4,4,320,266,240.0
MacBookPro,AppleMacOSX10.5,IntelCore2Duo,15.4,4,320,266,240.0
MacBookPro,AppleMacOSX10.5,IntelCore2Duo,15.4,4,320,266,240.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,2,250,240,329.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,919.95
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,919.95
MacBookPro,MacOSX10.6-SnowLeopard,IntelCorei7,17,8,750,220,869.99
MacBookPro,MacOSX10.6-SnowLeopard,IntelCorei7,17,8,750,220,869.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei7,15.4,8,500,266,769.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,13.3,8,1,240,789.0
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,15.4,4,250,220,152.53
MacBookPro,MacOSX10.10-Yosemite,IntelCorei72ndGen.,13.3,16,2,240,1699.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,8,500,226,595.0
MacBookPro,MacOSX10.6-SnowLeopard,IntelCorei5,17,8,500,253,664.05
MacBookPro,MacOSX10.10-Yosemite,IntelDualCore,13.3,8,128,260,999.0
MacBookPro,MacOSX10.10-Yosemite,IntelDualCore,13.3,8,256,260,1099.99
MacBookPro,MacOSX10.10-Yosemite,IntelDualCore,13.3,8,256,260,1099.99
MacBookPro,MacOSX10.9-Mavericks,Intel,15.4,8,250,220,449.99
MacBook,MacOSX10.7-Lion,IntelCore2Duo,13.3,2,250,183,149.95
MacBook,MacOSX10.7-Lion,IntelCore2Duo,13.3,2,250,183,149.95
MacBookPro,MacOSX10.10-Yosemite,Intel,15.4,16,1,200,1099.0
MacBookPro,OSX10.9.5,IntelCorei7-3615QM,15.4,8,500,230,849.99
MacBookPro,OSX10.9.5,IntelCorei7-3615QM,15.4,8,500,230,849.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,149.99
MacBookAir,MacOSX10.7-Lion,IntelCorei52ndGen.,11.6,2,64,160,499.0
MacBookPro,MacOSX10.10,IntelCore2Duo,13,4,750,25,519.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei74thGen.,15.4,16,256,220,922.0
