@relation applelaptops 

@attribute productFamily {MacBookPro,MacBook,MacBookAir,MacBookProwithRetinadisplay}
@attribute operatingSystem {MacOSX10.10-Yosemite,MacOSX10.7-Lion,MacOSX10.6-SnowLeopard,MacOSX10,10.10,AppleMacOSX10.7,MacOSX,MacOSX10.9-Mavericks,MacOSX10.8-MountainLion,AppleMacOSX10.5,MacOSX10.5-Leopard,AppleMacOSX10.10-Yosemite,MacOSXYosemite,AllCurrentOS10.10.4oraskIcanloadolderOS,AppleMacOS,MacOSX10.9}
@attribute processorType {IntelCorei52ndGen.,IntelCorei5,IntelCore2Duo,IntelCorei54thGen.,Intel,IntelCorei72ndGen.,Corei7,Quad-coreIntelCorei7,IntelCorei74thGen.,IntelCorei75thGen.,I7,IntelCorei55thGen.,IntelCorei7,IntelCorei71stGen.,IntelQuadCorei7,IntelCorei73rdGen.,IntelDualCore}
@attribute screenSize NUMERIC
@attribute memory NUMERIC
@attribute hardDriveCapacity NUMERIC
@attribute processorSpeed NUMERIC
@attribute productPrice NUMERIC

@data
MacBookPro,MacOSX10.10-Yosemite,IntelCorei55thGen.,13,8,128,270,1150.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei74thGen.,15,16,1,28,2200.0
MacBookPro,MacOSX10.7-Lion,IntelCorei73rdGen.,15.4,4,500,330,1000.0
MacBookPro,MacOSX10.7-Lion,IntelCorei73rdGen.,15.4,4,500,330,1000.0
MacBookPro,MacOSX10.5-Leopard,IntelCore2Duo,15.4,4,250,253,300.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,204.99
MacBookPro,MacOSX10.10-Yosemite,Intel,15.4,4,320,240,449.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei75thGen.,15.4,16,1,28,2915.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei75thGen.,15.4,16,1,28,2915.0
MacBookPro,MacOSX10.10-Yosemite,IntelDualCore,13.3,8,128,260,800.0
MacBookPro,MacOSX10.9,IntelCorei5,15,8,500,240,400.0
MacBookPro,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,250,240,389.0
MacBookPro,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,250,240,389.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei74thGen.,15.4,16,256,220,1595.0
MacBookAir,MacOSX10.10-Yosemite,IntelCorei74thGen.,13.3,8,512,173,836.0
MacBookAir,MacOSX10.7-Lion,IntelCorei52ndGen.,11.6,2,64,160,320.0
